Iteration = 267000 | Total steps: 30-50-71 | Min: 2.53 | Avg: 4.54 | Max: 7.89
Iteration = 268000 | Total steps: 19-58-126 | Min: 0.61 | Avg: 13.31 | Max: 53.55
Iteration = 269000 | Total steps: 21-35-59 | Min: 0.18 | Avg: 5.31 | Max: 16.17
Iteration = 270000 | Total steps: 42-61-78 | Min: 3.77 | Avg: 9.10 | Max: 20.80
Iteration = 271000 | Total steps: 18-43-75 | Min: 0.62 | Avg: 4.82 | Max: 17.13
Iteration = 272000 | Total steps: 33-54-88 | Min: 2.14 | Avg: 6.18 | Max: 19.46
Iteration = 273000 | Total steps: 21-60-98 | Min: 2.08 | Avg: 10.29 | Max: 34.40
Iteration = 274000 | Total steps: 16-48-79 | Min: 0.10 | Avg: 6.29 | Max: 24.20
Iteration = 275000 | Total steps: 31-56-110 | Min: 1.36 | Avg: 5.84 | Max: 23.79
Iteration = 276000 | Total steps: 25-57-94 | Min: 0.80 | Avg: 7.43 | Max: 23.16
